nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm8332520,Marybeth Herron,1993,\N,actress;producer,tt6770142;tt10623842;tt7555784;tt5931676
nm8332521,Adam William Cahill,1986,\N,editor;director;writer,tt6770142;tt2628232;tt10623842;tt2183641
nm8350482,Teresa Celeste,\N,\N,actress,tt12227976;tt6971054;tt9145518;tt15047318
nm8353570,Avi Bandyopadhyay,\N,\N,cinematographer;editor;director,tt13388966;tt5955728;tt6070234;tt6342842
nm8451466,Ally Teixeira,\N,\N,actress;writer;producer,tt12985634;tt0493378;tt8332838;tt8521058
nm8529806,Stephen F. Cohen,\N,\N,actor,tt10664722;tt10663998;tt10664532;tt6174306
nm8665625,Mark Melamed,\N,\N,sound_department;composer,tt8106588;tt7319264;tt8178684;tt6079772
nm8737657,Edoardo Fadini,\N,\N,writer,tt6468098
nm8737658,Matteo Guarnaccia,1954,2022,,tt6468098;tt9349020
nm8737660,Steve Della Casa,\N,\N,producer,tt6468098
nm8744453,Ryan Watson,1983,\N,producer;director;writer,tt12626068;tt12655374;tt12692474;tt17014810
nm8760165,Takudzwa Matsatsa,\N,\N,actor,tt10579630;tt13484824;tt12637432;tt12853056
nm8924327,Jannine Benkhardt,\N,\N,assistant_director;actress;director,tt7865436;tt6770142;tt13353826;tt13075590
nm8924880,Carola Cudemo,\N,\N,actress,tt14648000;tt6784660;tt8883660
nm8924881,Andrea Dentico,\N,\N,composer;producer;music_department,tt6784660;tt14648000;tt27033093;tt5354378
nm9083393,Alex Riccio,\N,\N,editor;miscellaneous;director,tt8713594;tt8751090;tt22489120;tt8751042
nm9126120,Christopher Tabassi,\N,\N,make_up_department;actor;costume_department,tt15117174;tt7627562;tt7131158;tt9080346
nm9128839,Alex James,\N,\N,actor;producer;writer,tt8927780;tt8741502;tt19175658;tt7134368
nm9129735,Fausto Cerboni,\N,\N,,tt6468098
nm9138724,Pedro Welch,\N,\N,,tt7149956;tt13876160
nm9148892,Anthony Moffat,1981,\N,producer;director;writer,tt15115682;tt15108182
nm9185572,Will Roberts,\N,\N,editor,tt6268200;tt22016398;tt12541870
nm9191741,Elmor C Garlitos,\N,\N,actor,tt13650704;tt17196124;tt21345048;tt10257354
nm9329737,Dimitris Tasoudis,\N,\N,composer,tt7480242;tt7756920;tt27002836
nm9349874,Manoj Verma,\N,\N,miscellaneous;director;producer,tt13045552;tt7520640;tt20751628;tt20348760
nm9366735,Christian Jessup,\N,\N,composer;producer;editorial_department,tt21076572;tt21839168;tt13833516;tt12803632
nm9374880,Swati Kumar,\N,\N,actor,tt9899560;tt9899886;tt6451298
nm9432438,Sam Sidhu,\N,\N,actor;production_manager;producer,tt9441962;tt15285844;tt9170236;tt12937304
nm9449417,Rasec Marc Ortega,\N,\N,actor;composer;producer,\N
nm9453982,Nancy Laracy,\N,\N,,tt4338862
nm9454064,Nilu Amin,\N,\N,camera_department;cinematographer,tt10749968;tt4338862;tt11576560
nm9495458,Alex Kroeker,\N,\N,actor;producer;camera_department,tt8927780;tt7764592;tt23828798;tt19175658
nm9595535,Arindam Gayan,\N,\N,editorial_department;editor,tt4208710;tt9784088;tt3080148;tt7746710
nm9684744,Aarushi Agni,\N,\N,writer;actress,tt8106176;tt9080346
nm9877320,Daniel Card,\N,\N,editorial_department;editor,tt9080346;tt8487950;tt6329790;tt19849020
